N,m
7.538132980860372072e+02,9.822670248718678998e-01
7.516925591142121448e+02,1.001353510379659806e+00
7.516925591142121448e+02,1.001353510379659806e+00
7.463716348476933717e+02,9.890107677712857148e-01
7.463716348476933717e+02,9.890107677712857148e-01
7.457590376345712002e+02,9.731934691971477758e-01
7.454470910083165336e+02,9.972199846806976131e-01
7.439595580890867268e+02,9.854026488473004441e-01
7.467088666317314392e+02,9.936194739018513467e-01
7.396316163241117465e+02,1.016583499012444936e+00
7.372263873780607355e+02,1.011185877341548967e+00
7.362896861415503054e+02,9.883278758558359245e-01
7.387910869692767619e+02,9.930535772564420549e-01
7.378513811865481102e+02,9.837766362328537184e-01
7.378513811865481102e+02,9.837766362328537184e-01
7.345406970831327271e+02,9.806776446222851273e-01
7.323583884014763044e+02,9.853321032226257659e-01
7.273085858342464007e+02,9.772672217641525938e-01
7.330424028805855414e+02,9.805337233655764262e-01
7.351634973275874927e+02,9.827204586989042312e-01
7.334096554452862620e+02,9.751723946785636477e-01
7.327123604336505878e+02,9.876667692797830300e-01
7.297393030994965102e+02,9.791211238288844987e-01
7.297393030994965102e+02,9.791211238288844987e-01
7.345356052323965059e+02,9.682062506297880455e-01
7.291280929694951283e+02,9.821019197580330706e-01
7.291280929694951283e+02,9.821019197580330706e-01
7.238721035156710286e+02,9.793766812294376622e-01
7.316236266676946798e+02,9.869000554671475411e-01
7.307606884849642483e+02,9.788939047267491977e-01
7.321339638738628537e+02,9.627011538045450179e-01
7.288005801206581964e+02,9.697343557710347284e-01
7.255342152866720653e+02,9.571948202970252950e-01
7.194610281939682181e+02,9.644474705402380499e-01
7.147128563872328186e+02,9.726279689355125102e-01
7.121683119651835341e+02,9.587839369160624514e-01
7.115920580609314356e+02,9.588888884694024561e-01
7.223634953896723800e+02,9.575356444778516662e-01
7.223634953896723800e+02,9.575356444778516662e-01
7.223634953896723800e+02,9.575356444778516662e-01
7.244986048462171766e+02,9.846452301612650393e-01
7.279021109926590043e+02,9.951327908500688935e-01
7.220886182996388243e+02,9.621404106801942913e-01
7.266741909615384429e+02,9.832814558024638441e-01
7.147054853022361840e+02,9.419470374238821941e-01
7.025498795187377254e+02,9.436637407918484488e-01
7.090077436662485297e+02,9.649701851510312789e-01
7.173247799524134507e+02,9.623243917037149764e-01
7.173247799524134507e+02,9.623243917037149764e-01
7.108681542666859059e+02,9.445987392870170973e-01
7.108681542666859059e+02,9.445987392870170973e-01
7.119432333176237080e+02,9.439730312931803313e-01
7.028930916468615351e+02,9.475870401517970665e-01
6.979384062833629514e+02,9.382302589714380803e-01
6.979384062833629514e+02,9.382302589714380803e-01
6.979384062833629514e+02,9.382302589714380803e-01
6.946434079147517195e+02,9.392199883050631470e-01
6.873387247223371332e+02,9.280885191683557744e-01
6.951408696225975063e+02,9.289650787509903251e-01
6.950985411201918396e+02,9.260407485099462210e-01
6.899839193711620737e+02,9.161144228849036342e-01
6.934707821423650103e+02,9.247045218755232110e-01
7.005645389646847434e+02,9.504923509583066421e-01
7.090011289623979565e+02,9.301994171847850490e-01
7.124365367280901182e+02,9.767201779172617337e-01
7.084362302700491227e+02,9.701533368796315671e-01
7.123151707270641282e+02,9.590171027615652655e-01
7.121075327600671017e+02,9.644342666295201427e-01
6.992491375661137454e+02,9.310417722053102585e-01
6.987723727610822380e+02,9.621148943931280284e-01
7.043119104044052392e+02,9.539817640237554519e-01
7.063400343843054543e+02,9.307306383683121576e-01
6.996808967672395738e+02,9.294908511091005687e-01
7.002990231576138740e+02,9.460223550358408673e-01
6.988723962974394226e+02,9.326663465794798880e-01
6.988723962974394226e+02,9.326663465794798880e-01
6.891298657198635738e+02,9.137933485422757851e-01
6.899082292939336867e+02,9.363321305549352491e-01
6.925673845424580577e+02,9.160116193189036249e-01
6.967184615539022161e+02,9.338131686556964128e-01
7.044768075135299341e+02,9.104944972009848536e-01
7.034322077284290344e+02,9.387688426251794560e-01
7.091145976392621151e+02,9.482133271896215909e-01
7.165163392772892621e+02,9.804172752304827210e-01
7.173565454473438194e+02,9.733285716676353116e-01
7.120634601587012185e+02,9.551668266571164967e-01
7.178306140446792369e+02,9.392515869286286456e-01
7.179741340754796965e+02,9.630659855255034874e-01
7.180927595436801312e+02,9.562225032437541294e-01
7.218296432002205165e+02,9.661637575450856552e-01
7.218296432002205165e+02,9.661637575450856552e-01
7.151723109887033161e+02,9.624997697863783008e-01
7.170102599548768012e+02,9.385362571938917764e-01
7.236700561999621186e+02,9.802527613400313644e-01
7.188819555054031980e+02,9.519611806766926643e-01
7.167059207687441358e+02,9.594590250953318744e-01
7.167059207687441358e+02,9.594590250953318744e-01
7.202234448584717939e+02,9.667708261741650988e-01
7.202234448584717939e+02,9.667708261741650988e-01
7.202234448584717939e+02,9.667708261741650988e-01
7.177026841439463851e+02,9.441926009107189932e-01
7.263134467778891121e+02,9.629492090547171479e-01
7.318534159818577791e+02,9.755699753130051555e-01
7.330865623839675891e+02,9.866090036802001029e-01
7.332003524508356804e+02,9.741446452299368230e-01
7.359640027251244874e+02,9.774272731613007359e-01
7.365018358882674647e+02,9.843473982683179635e-01
7.390777353783139461e+02,9.735012645404953480e-01
7.327624000444236572e+02,9.761980887211616498e-01
7.448610704778918716e+02,1.012174189135289337e+00
7.384365432078145659e+02,1.002771252647145062e+00
7.384365432078145659e+02,1.002771252647145062e+00
7.395080639381986884e+02,9.871656635241425892e-01
7.512579137059125287e+02,9.880287958792093317e-01
7.564170685502725746e+02,9.979620736990651997e-01
7.511202435375677169e+02,1.026632948774937271e+00
7.564734031635063047e+02,1.009372253645916651e+00
7.574025249326501807e+02,1.024476490354974123e+00
7.554790886126030500e+02,1.025858462067953392e+00
7.428524788147446998e+02,1.003976955939668958e+00
7.404160975205643354e+02,9.899255349593564235e-01
7.481809487097301599e+02,9.988734484472177044e-01
7.551500722099724499e+02,9.967070843245007250e-01
7.583011081819892070e+02,9.958377582461120925e-01
7.564340428783899597e+02,1.014780999639202541e+00
7.551947924225836459e+02,1.037190933745045118e+00
7.584453286667401244e+02,1.000771818778449784e+00
7.535061820534934895e+02,1.005925768832062861e+00
7.547279622639706531e+02,1.002829472894179785e+00
7.551536967611406226e+02,1.016625210786419764e+00
7.599474373791872495e+02,1.018564169905605388e+00
7.595991628829606270e+02,1.005249884933474558e+00
7.522272544651318640e+02,1.014511740769285408e+00
7.501220203139224623e+02,1.014541484675190119e+00
7.488493918454208824e+02,9.905227313950868417e-01
7.484365307468665378e+02,1.000169884030863043e+00
7.486700471359131370e+02,9.798494858034106914e-01
7.525937893569960124e+02,1.009081643742576695e+00
7.532361037911351787e+02,1.010011461529105592e+00
7.528687350561987159e+02,9.824505229192507239e-01
7.503524411275574266e+02,1.002129655232937511e+00
7.652116409990389911e+02,1.007642799631662145e+00
7.558234378070342245e+02,1.005020841276318855e+00
7.551417862487343200e+02,1.014436539188139585e+00
7.444720221040173556e+02,1.011673688015504835e+00
7.434792450108413959e+02,9.855410531706312316e-01
7.412318256284095241e+02,9.798632615674389701e-01
7.412318256284095241e+02,9.798632615674389701e-01
7.386286550422823893e+02,9.890646347579522546e-01
7.386286550422823893e+02,9.890646347579522546e-01
7.401126325892470277e+02,1.013386552682519870e+00
7.414762999151021177e+02,9.901873087451473765e-01
7.382436785641607457e+02,9.812918675822697168e-01
7.382436785641607457e+02,9.812918675822697168e-01
7.393294788566479383e+02,9.973636332612861866e-01
7.485654600282634874e+02,1.011828104367689107e+00
7.556619364876949021e+02,1.007985027145344104e+00
7.570036759191239071e+02,1.009060414449975518e+00
7.520683060003904075e+02,1.007102154373876735e+00
7.520683060003904075e+02,1.007102154373876735e+00
7.523103953485734792e+02,1.001779487256301060e+00
7.486541709603748131e+02,1.000801714823851940e+00
7.530455336154280985e+02,9.976049206819270765e-01
7.569495407578634740e+02,1.024349008351396195e+00
7.621059156043540952e+02,1.020773817076630063e+00
7.480081330889388482e+02,1.001816501173019347e+00
7.479828821114126640e+02,1.016576022289629178e+00
7.465621210177598641e+02,9.869360054426821183e-01
7.486427633142376408e+02,9.973388445908157873e-01
7.462442500601373467e+02,1.006994794657445347e+00
7.485356329584598143e+02,9.844119760740724923e-01
7.499540851524524214e+02,9.869859953776050077e-01
7.515628223146322853e+02,1.000861477340642125e+00
7.534490314112334772e+02,9.914224448953409263e-01
7.624214858689489347e+02,1.008469909150923716e+00
7.552711722861207591e+02,9.943392748407030579e-01
7.493027919477333398e+02,9.892696817526808184e-01
7.516929261701903897e+02,1.007416029293828119e+00
7.516929261701903897e+02,1.007416029293828119e+00
7.487799210773140430e+02,9.745170012782353730e-01
7.488681248171436664e+02,9.949706161294713525e-01
7.492368567880596402e+02,9.960926978227928608e-01
7.525887469090148443e+02,1.001383708903037739e+00
7.516005604785400465e+02,1.011508210102422645e+00
7.480302887554018980e+02,9.842760574434339382e-01
7.394844502878810317e+02,9.687551485053748079e-01
7.348308280432393076e+02,9.797001391640955958e-01
7.525073205145105248e+02,9.977685381036234258e-01
7.534956831417682679e+02,1.020376592300532348e+00
7.499891689732102122e+02,9.877982154166532469e-01
7.560480244450069449e+02,1.003422012939043428e+00
7.560480244450069449e+02,1.003422012939043428e+00
7.461049835067293543e+02,9.949930076849347049e-01
7.427095805971786149e+02,1.009691182945609222e+00
7.357186864057546245e+02,9.918717110470909315e-01
7.357186864057546245e+02,9.918717110470909315e-01
7.357186864057546245e+02,9.918717110470909315e-01
7.391612512116547578e+02,9.645737413300593532e-01
7.496325790630595520e+02,1.000102271710431090e+00
7.465427269293554673e+02,9.796623648372795312e-01
7.531022609035410369e+02,1.008609883993600409e+00
7.531022609035410369e+02,1.008609883993600409e+00
7.540788933487517625e+02,1.015419193469642822e+00
7.514627714889768413e+02,9.876900520298436126e-01
7.544725316151709649e+02,1.020562309320234951e+00
7.467478423203097009e+02,9.918325384736028649e-01
7.465712848446470389e+02,1.006494210464305095e+00
7.591191745580636052e+02,1.017262463202972977e+00
7.507488234550643256e+02,9.787027095488718409e-01
7.507488234550643256e+02,9.787027095488718409e-01
7.478606804706221283e+02,9.879363127255054167e-01
7.555262342553079407e+02,9.930923242300951914e-01
7.577367540958872496e+02,1.025723781092318099e+00
7.519037167042088186e+02,9.917471391885390730e-01
7.532331272542040779e+02,9.943193809259067706e-01
7.583369095651839871e+02,1.029801548450046900e+00
7.564310811553992835e+02,1.028485059705764870e+00
7.473898012476943222e+02,9.971444974697061259e-01
7.419747165248089686e+02,9.924933653140155521e-01
7.376834567924923931e+02,9.834401411576677576e-01
7.310291520779298935e+02,9.931319868243220217e-01
7.331181720408267211e+02,9.915368572243552503e-01
7.331181720408267211e+02,9.915368572243552503e-01
7.329298245346484464e+02,9.937355803762629725e-01
7.359264568710013918e+02,9.865081140078366673e-01
7.315892798676434268e+02,9.684061633617859766e-01
7.321605172810452586e+02,9.924071357610874111e-01
7.256072123660787838e+02,9.928592127519181298e-01
7.271989315965655578e+02,9.669996748193622205e-01
7.227205193144014856e+02,9.495060282521564643e-01
7.070543755868812923e+02,9.586531769801696079e-01
6.986986283070926902e+02,9.278445131845367566e-01
6.977618572521920441e+02,9.535319916804063656e-01
6.933171194261468600e+02,9.246563126634361751e-01
6.942729556478539052e+02,9.201987386118125611e-01
6.887120671346448262e+02,9.357300208463825708e-01
6.990453044084133580e+02,9.354689049417078683e-01
7.050601782897385874e+02,9.568891979909571743e-01
7.105513749803770907e+02,9.470598637190142943e-01
7.105513749803770907e+02,9.470598637190142943e-01
7.150894790937934431e+02,9.562431785458226363e-01
7.188415116928583757e+02,9.601424426660501998e-01
7.210136441655230328e+02,9.766395250164151554e-01
7.261887104225635312e+02,9.657417716900515980e-01
7.261887104225635312e+02,9.657417716900515980e-01
7.279093273706628224e+02,9.789417150566857018e-01
7.237962906183613541e+02,9.578113000085919371e-01
7.239896476018210478e+02,9.567831551347676378e-01
7.239896476018210478e+02,9.567831551347676378e-01
7.233022281006601588e+02,9.504836014558284418e-01
7.175614530145282970e+02,9.817346492902719879e-01
7.223556963094463299e+02,9.985159157354112081e-01
7.148133956394855204e+02,9.370309484513529297e-01
7.166464257776817703e+02,9.549466266375350454e-01
7.166464257776817703e+02,9.549466266375350454e-01
7.195470070287142335e+02,9.621277636981446779e-01
7.161897584925637830e+02,9.591726244831042525e-01
7.167006258358923105e+02,9.538901363441358860e-01
7.205391674698390716e+02,9.628444559892680443e-01
7.194729847152603952e+02,9.680779988235629352e-01
7.236937993189728786e+02,9.779126055245332960e-01
7.236937993189728786e+02,9.779126055245332960e-01
7.141049677200500128e+02,9.562431270731550637e-01
7.141049677200500128e+02,9.562431270731550637e-01
7.112330254479066980e+02,9.460170845968991493e-01
7.032015619400682453e+02,9.465994092456122555e-01
7.046525926514831326e+02,9.434073249604381095e-01
7.027050203297671942e+02,9.450751700018611423e-01
7.027050203297671942e+02,9.450751700018611423e-01
6.977674853137058335e+02,9.290964752282682149e-01
6.957071313484420898e+02,9.378366968946114657e-01
7.041182137036709037e+02,9.305918381212906487e-01
7.039137718788706479e+02,9.439990560064961400e-01
7.088359291924724630e+02,9.677716602543350310e-01
7.112958861643380715e+02,9.918606538598769840e-01
